Fecha,DViento,HAire10,NO,NO2,P,PLiquida,PM10,PM2.5,VViento
2019-11-07,163.54166667,75.75534028,41.71733866,45.07956274,22.19152778,0.0675,45.64921667,33.30434783,1.37125
2019-11-08,197.125,64.94211111,44.58802892,48.04891326,23.21770139,0.0,40.76422917,32.79166667,1.70958333
2019-11-09,178.29166667,64.9416875,53.75785014,34.06156826,23.39785417,0.03625,58.96596818,31.08333333,1.84125
2019-11-10,155.125,79.47891667,30.57538165,27.06024088,20.74105556,0.0,48.00755909,27.08333333,1.75125
2019-11-11,181.04545455,82.30913768,18.17476973,25.67432302,21.32556972,0.18791667,28.86501818,17.20833333,1.40181818
2019-11-12,243.20833333,84.51280556,43.19036949,28.31642531,19.99452083,0.03166667,72.0589125,23.0,1.30041667
2019-11-13,,,62.49633373,36.62421489,,,,33.79166667,
2019-11-14,,,68.95768006,48.62856894,,,,45.41666667,
2019-11-15,,,55.5945744,36.50695279,,,,37.58333333,
2019-11-16,,,41.62019638,21.2758196,,,,27.0,
2019-11-17,,,38.29416665,14.02195259,,,,26.625,
2019-11-18,,,47.36635612,25.2885545,,,,28.70833333,
2019-11-19,,,49.90099489,29.19077442,,,,32.69565217,
2019-11-20,,,78.92608351,40.42449245,,,,47.73913043,
2019-11-21,,,29.97018746,25.88431913,,,,23.60869565,
2019-11-22,,,48.89595767,31.66348988,,,,33.34782609,
2019-11-23,,,54.02526557,37.97795403,,,,39.70833333,
2019-11-24,,,27.72993102,19.97679392,,,,23.66666667,
2019-11-25,,,46.81801882,34.45684076,,,,36.66666667,
2019-11-26,,,44.59592429,28.93448861,,,,26.70833333,
2019-11-27,,,70.71573632,31.81366507,,,,37.70833333,
2019-11-28,,,48.7666413,33.64361746,,,,32.41666667,
2019-11-29,,,60.75217668,23.98139497,,,,36.33333333,
2019-11-30,,,53.53712215,29.55454985,,,,32.0,
2019-12-01,88.45833333,72.74931944,32.80891297,20.79788008,20.63611111,0.00458333,39.2489619,27.33333333,1.5175
2019-12-02,153.04166667,78.85557639,60.90260849,35.08364801,22.09778472,0.05625,70.56222381,38.54166667,1.49875
2019-12-03,177.20833333,81.97372917,80.70447866,30.94266937,20.57102083,0.04083333,68.86094545,49.41666667,1.13041667
2019-12-04,179.5,73.60748611,72.70021852,31.42834314,23.08436805,0.0,58.40653913,47.25,1.42833333
2019-12-05,193.16666667,81.61084699,53.26828096,31.85413331,21.35833333,0.0825,27.1505913,34.58333333,1.2875
2019-12-06,186.125,84.22136111,53.48433816,29.74122872,20.81470833,0.12083333,51.46562917,32.83333333,2.13125
2019-12-07,202.04166667,78.55755556,43.48657109,24.30735825,21.73401389,0.0575,54.02835,30.79166667,1.58375
2019-12-08,155.83333333,62.08032639,26.42411341,16.43163474,23.9465625,0.0,60.34230435,24.125,2.11166667
