Fecha,DViento,HAire10,O3,P,PLiquida,RGlobal,TAire10,TMPR_AIR_10CM,VViento
2021-04-15,173.29166667,74.67963889,19.23521574,22.15980556,0.17416667,,,22.15980556,1.00291667
2021-04-16,185.70833333,81.93559722,16.84001038,20.69820833,0.06625,,,20.69820833,1.01833333
2021-04-17,176.70833333,69.6393125,21.94106206,22.61470833,0.00083333,,,22.61470833,1.10208333
2021-04-18,171.45833333,70.60552778,21.49145014,22.23417361,0.00041667,,,22.23417361,1.45375
2021-04-19,196.08333333,68.80317361,24.46706362,22.78008333,0.0,,,22.78008333,1.17041667
2021-04-20,172.16666667,70.46852778,18.27876855,22.46957639,0.0,,,22.46957639,1.41708333
2021-04-21,221.375,68.90095139,18.57305999,22.00136806,0.00041667,,,22.00136806,1.025
2021-04-22,218.25,74.01133333,18.41773951,22.20017361,0.06666667,,,22.20017361,1.18083333
2021-04-23,201.66666667,76.6545625,17.60843804,20.80719444,0.005,,,20.80719444,0.95
2021-04-24,167.70833333,74.41577083,23.87848073,21.57646528,0.01916667,,,21.57646528,1.33541667
2021-04-25,183.25,71.3595,24.08284979,23.01553472,0.00791667,,,23.01553472,1.42333333
2021-04-26,198.91666667,81.22536806,26.34725895,21.06068056,0.48791667,,,21.06068056,1.18166667
2021-04-27,209.58333333,87.00748611,9.28653,19.39854167,0.07833333,,,19.39854167,0.70125
2021-04-28,216.45833333,81.74959028,13.61915402,19.92470139,0.03666667,,,19.92470139,1.32541667
2021-04-29,207.95833333,83.330625,7.09397269,19.708625,0.0475,,,19.708625,0.91333333
2021-04-30,217.95833333,91.63747917,9.58082144,18.1194375,0.2925,,,18.1194375,0.80041667
2021-05-01,226.11577014,84.39595833,15.96531081,19.04323611,0.04125,,,19.04323611,0.60934565
2021-05-02,203.34144351,81.80042361,16.43127226,19.57701389,0.44666667,,,19.57701389,0.7109602
2021-05-03,207.09458581,81.01316667,15.83451461,18.83530556,0.16333333,,,18.83530556,0.57710343
2021-05-04,191.1945583,79.23943055,20.16713864,19.74310417,0.05958333,,,19.74310417,0.63490352
2021-05-05,183.04245548,80.01686232,14.45866657,20.36381159,0.02347826,,,20.36381159,0.75342448
2021-05-06,203.00183089,79.26364583,18.05804996,20.11005555,0.05416667,,,20.11005555,0.68477466
2021-05-07,205.71613309,76.28989583,23.21632499,20.69649306,0.01916667,,,20.69649306,0.91391673
2021-05-08,183.55387363,80.33884722,19.35783717,20.12323611,0.17125,,,20.12323611,0.67774476
2021-05-09,207.71338664,85.13999306,13.83169784,19.86727778,0.13583333,,,19.86727778,0.94110397
