Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2013-03-22,,,,20.08333333,13.66666667,,,,,,,,,
2013-03-23,,,,6.75,6.08333333,,,,,,,,,
2013-03-24,,,,12.22727273,5.5,,,,,,,,,
2013-03-25,,,,4.68181818,2.22727273,,,,,,,,,
2013-03-26,,,,15.125,8.625,,,,,,,,,
2013-03-27,,,,6.16666667,8.33333333,,,,,,,,,
2013-03-28,,,,4.95,4.95,,,,,,,,,
2013-03-29,,,,0.875,0.0,,,,,,,,,
2013-03-30,,,,7.41666667,6.91666667,,,,,,,,,
2013-03-31,,,,6.91666667,3.125,,,,,,,,,
2013-04-01,188.89998267,57.75867667,,13.55168379,9.89695291,,,,27.16666667,147.54715292,,,,3.23317148
2013-04-02,230.22668604,67.79501208,,8.40114268,14.49531323,,,,28.79166667,115.63958292,,,,3.26842758
2013-04-03,199.85964729,66.1216425,,4.33154042,8.73106304,,,,26.70833333,135.57430042,,,,3.90967974
2013-04-04,233.367155,63.44411417,,10.65179403,9.01018008,19.63795767,,,33.66666667,147.07361458,,23.32277875,,3.0516413
2013-04-05,185.4140098,68.380178,,6.89547877,11.6447489,36.6820205,,,39.0,128.495832,,21.24108292,,3.11207645
2013-04-06,236.09301821,64.12242458,,7.13985513,7.86316597,60.32998042,,,37.0,150.45473958,,23.36214167,,3.96489223
2013-04-07,212.17531413,61.74583375,,3.05931144,3.59767506,44.7892815,,,29.70833333,162.05034417,,20.99706,,4.22511445
2013-04-08,229.14359939,63.42355125,,5.16248875,9.394896,16.549621,,,30.61904762,151.97000042,,23.44348292,,4.45619371
2013-04-09,196.27895452,61.68636083,,7.66198029,11.8456157,37.57330682,,,40.47826087,172.27129292,,20.24489708,,3.0309767
2013-04-10,245.62333813,67.60860958,,6.27363997,13.25284675,34.446526,,,33.83333333,115.7986025,,20.08891042,,2.85611258
2013-04-11,204.89263583,72.57543417,,16.1443511,17.80537959,15.76988408,,,38.13043478,160.13587958,,19.2682525,,2.61431632
2013-04-12,179.12470717,69.21329958,,25.47833381,18.39924713,,,,51.20833333,112.1727925,,,,2.8128635
2013-04-13,216.57536543,64.3706475,,8.15705351,10.9955455,,,,36.83333333,142.83206042,,,,3.52510955
2013-04-14,261.15230375,69.32759292,,5.24619793,6.52125004,,,,34.04166667,105.41261375,,,,3.34089854
2013-04-15,217.88381379,67.51240292,,6.05684085,11.20391223,,,,29.91304348,132.21702333,,,,3.28647546
2013-04-16,230.3420175,63.9664925,,16.23332116,12.84040462,,,,33.77272727,158.01955917,,,,3.91562855
