Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM2.5,SO2,VViento
2020-07-11,391.00960303,138.33333333,85.56627778,5.91159347,20.70088949,33.16501073,20.04490972,0.31708333,12.58333333,7.52853714,1.40416667
2020-07-12,278.50438259,58.54166667,85.11384722,6.72894062,12.58510664,26.69059897,20.51861806,0.06041667,11.45833333,12.06843005,1.68625
2020-07-13,317.96545133,118.125,77.11994445,11.12924265,21.00669309,25.56248177,21.64586111,0.21958333,11.66666667,16.10452292,1.77875
2020-07-14,325.8894547,138.875,73.59969444,14.44619618,25.58241293,25.48890891,21.7095,0.17416667,13.59090909,20.57800151,1.64625
2020-07-15,316.56324229,170.875,78.6781875,18.81393191,26.22139256,20.10174054,21.14463194,0.00166667,15.375,22.41103664,1.41791667
2020-07-16,344.65499649,124.41666667,73.24143056,23.73817481,25.58736135,24.86762697,22.33451389,0.00083333,16.58333333,35.05679686,1.73916667
2020-07-17,218.6869294,133.70833333,69.42747917,9.46526649,20.61102884,30.75345584,23.19844445,0.00166667,13.79166667,22.92385004,1.86666667
2020-07-18,244.43500423,134.375,68.04334722,10.24717901,21.2947737,33.18136025,23.19554167,0.015,18.33333333,28.60844113,1.67833333
2020-07-19,176.99247534,102.45833333,71.78974306,6.04519132,13.11873117,33.843516,23.27809028,0.00083333,12.20833333,18.13395467,1.98583333
2020-07-20,174.08026994,86.91666667,79.54501515,5.61122189,12.21052663,29.90328056,22.60665278,0.025,14.70833333,13.15857361,1.88125
2020-07-21,228.89241264,117.625,80.3105625,11.31370814,21.20701285,19.06354573,21.98411806,0.28291667,15.95833333,20.08700996,2.08791667
2020-07-22,175.1366422,160.90909091,85.06588889,13.0824602,23.29419483,20.99278963,19.79121429,0.09458333,14.29166667,10.13624783,1.02
2020-07-23,225.63034769,,,19.81420125,25.15583119,13.69681427,,0.0,17.53333333,23.23590245,
2020-07-24,258.85220297,233.5,86.43984615,9.32102736,24.26808616,23.09642847,19.91415934,0.30166667,12.53333333,4.68442311,1.41333333
2020-07-25,213.89893359,161.16666667,86.64432639,12.52265033,24.45193918,15.01703838,20.11743056,0.18458333,13.08333333,11.39100402,1.22
2020-07-26,95.40153039,80.875,78.63633333,5.24182587,10.565565,21.3034306,21.76044444,0.02416667,8.33333333,11.7074208,1.74125
2020-07-27,153.02534098,102.20833333,79.97972222,10.35934438,17.58525,22.16178065,21.41921528,0.33416667,8.0,14.69701381,1.82708333
2020-07-28,150.81130108,110.83333333,76.61819444,10.01348116,20.90747733,23.37164547,22.39014583,0.19,14.5,14.54426088,2.01041667
2020-07-29,173.90448385,103.58333333,71.87052083,11.17480072,22.27710604,24.5161122,22.95330556,0.03958333,12.25,21.55998462,1.43
2020-07-30,388.76297577,138.41666667,75.37225,17.20923491,30.0413127,19.49680813,22.15329861,0.00791667,16.20833333,18.87589746,1.98125
2020-07-31,200.62816214,106.83333333,67.98063889,11.06573729,20.87735924,27.99038618,23.87883333,0.0025,12.16666667,21.98551063,2.03208333
2020-08-01,184.51195744,130.70833333,65.03766667,7.57564117,23.53945668,31.86522352,23.05170139,0.0575,16.375,24.2549827,1.58625
2020-08-02,163.09808966,112.54166667,56.54988194,7.95390862,20.57640557,34.76726414,23.21852083,0.00416667,11.83333333,35.26410439,1.96833333
2020-08-03,211.14871852,129.25,60.90461111,15.65425576,28.77049232,33.61462266,23.11070833,0.00125,19.91666667,35.44247428,1.90125
2020-08-04,256.22710224,107.70833333,63.89520139,16.62209531,32.17933659,30.50821297,23.02009028,0.01416667,22.625,49.77563251,1.67791667
2020-08-05,224.48756583,111.125,68.20654167,11.62049822,28.32655608,33.66367123,22.79654861,0.00125,22.25,27.13546647,1.99125
2020-08-06,258.32082663,120.375,71.82999306,9.12543851,29.81693921,33.00151548,22.50515278,0.00083333,26.875,28.4556882,2.06958333
2020-08-07,220.30810157,101.20833333,70.85460417,5.44017598,20.42981886,38.11891669,23.4928125,0.0,22.5,24.26589362,1.94958333
2020-08-08,220.48621786,135.83333333,61.32111806,9.00397756,23.0121394,34.32582698,24.04823611,0.00208333,16.70833333,32.63457186,2.01583333
2020-08-09,167.62374,103.25,60.18425,4.6900749,18.61528237,34.87353605,24.06308333,0.00125,16.83333333,22.18190725,1.90291667
2020-08-10,371.89940402,96.875,66.26849306,11.63490919,28.51245928,32.30666069,23.31979861,0.00041667,22.29166667,39.20294774,2.08875
2020-08-11,552.33371826,144.8,75.3102359,10.8087512,25.6087657,22.7585383,23.08113797,0.06666667,27.80952381,31.57309489,1.5825
